tenure_months,monthly_charge,support_tickets,contract,autopay,reference_id,churned
53,60.2176,0,2,1,-0.5029,0
58,51.6986,1,1,1,-0.0586,0
8,94.9761,1,1,1,0.294,1
66,89.144,3,2,1,0.6805,0
16,74.9574,2,2,1,-0.0097,0
8,58.7552,0,1,0,-0.3596,0
67,51.3204,2,2,0,1.0621,0
55,46.3036,1,2,1,0.6625,0
44,99.6949,1,0,1,-0.7077,0
44,57.3047,1,2,0,0.6662,0
53,63.6931,1,1,0,-1.9156,1
65,75.1064,3,2,0,0.3011,1
1,83.9774,2,1,0,-1.0819,1
37,85.8006,0,2,0,-1.6495,0
24,25.1877,1,0,1,2.0477,1
53,93.7647,2,1,1,0.6133,0
18,16.3204,3,2,0,0.5424,1
39,95.1466,1,1,0,-0.4672,1
48,72.215,1,2,0,0.6271,0
4,59.697,1,2,0,-1.1529,0
37,90.7997,2,1,1,-0.0272,0
48,72.4289,3,2,1,0.0864,0
65,106.9113,1,0,1,0.7783,0
57,91.5815,0,0,0,1.1099,1
43,57.9621,0,1,0,0.3446,1
40,40.986,0,1,0,-0.4135,0
60,62.6909,1,0,0,1.8087,0
7,66.3759,0,0,1,0.8978,1
56,85.3881,0,2,1,0.2191,0
65,59.8294,0,1,1,-0.6281,0
38,88.3813,1,2,0,0.6214,0
67,83.401,0,2,0,-0.9503,0
10,79.3099,0,2,1,0.2441,0
10,103.1053,2,1,0,-0.9641,1
71,82.6768,2,0,0,-1.5299,0
35,33.775,1,2,1,-0.6278,1
68,60.5591,1,0,0,0.671,1
51,56.2087,0,2,1,-2.3839,0
54,88.2612,3,2,1,0.1852,0
19,77.5717,2,2,1,2.6526,1
55,131.9117,1,2,0,1.1169,1
53,100.2869,2,2,1,1.0939,0
19,57.0514,0,0,1,-0.2697,1
24,61.9218,1,0,1,0.3004,1
53,98.3408,2,2,0,-0.2551,0
57,26.2532,1,2,0,-1.6393,0
52,78.9078,1,0,0,0.6781,0
64,93.5031,0,0,1,0.0952,0
61,90.9169,3,1,0,0.5295,0
32,45.1357,3,0,1,0.2734,1
3,49.0843,1,1,0,-0.0781,1
32,73.8679,0,1,1,0.6849,1
58,112.5831,0,1,0,-0.0234,0
64,44.5216,2,1,0,0.4545,0
21,57.3297,3,2,0,0.564,1
1,56.6943,1,2,1,0.3263,0
26,57.7987,1,1,0,-0.0649,1
45,70.9322,0,1,1,0.1764,0
46,36.9285,0,1,1,2.3591,0
22,68.19,1,2,0,-0.0474,0
40,80.3187,3,2,0,-0.2918,1
4,46.8667,0,1,0,-0.1853,1
18,45.7668,0,2,1,0.7585,1
18,44.7612,0,1,0,1.441,0
60,96.3141,0,2,1,-0.9527,0
39,52.7217,2,0,0,0.4064,1
3,94.0993,1,2,1,0.207,1
18,65.1749,0,0,0,-0.124,1
14,68.2331,1,1,0,-0.2686,1
40,85.1635,1,2,0,-0.2052,0
68,75.411,0,0,1,-0.302,1
51,94.2249,0,2,1,-0.0848,0
32,69.2929,3,0,0,-0.3147,1
8,88.6612,0,1,0,0.0745,1
12,47.9966,0,1,0,0.161,0
29,60.6972,0,2,1,-0.4346,0
67,108.9964,2,1,0,0.2154,0
18,61.4084,1,0,0,0.154,1
21,58.6271,2,2,0,-0.7609,0
8,43.5378,1,2,0,0.8992,1
22,24.1616,0,2,0,1.1399,0
42,46.3096,3,1,0,1.2229,0
37,103.1472,0,0,1,-1.5275,0
59,50.4264,1,1,0,-0.4506,0
26,89.3105,1,1,1,-1.1431,1
24,66.4813,3,1,0,-2.3838,1
1,76.8943,3,2,1,0.3968,0
18,57.8358,0,2,1,0.1705,0
52,73.6227,2,2,0,-1.3831,0
58,22.347,1,2,0,-1.1912,0
71,43.9728,0,2,1,0.8545,0
55,62.0912,4,1,1,1.4014,1
55,77.294,1,1,1,0.9575,0
35,48.26,1,0,1,-2.9601,0
70,62.9655,1,2,1,-2.0443,0
24,98.6842,2,2,1,-0.0318,0
11,71.139,0,1,1,-1.489,1
28,64.619,1,1,1,0.2824,1
58,114.8704,1,0,0,0.1909,0
26,89.2543,0,1,0,0.1344,1
71,65.8395,2,2,1,0.1968,0
16,74.5199,0,0,0,-1.5612,1
68,104.5663,1,2,1,1.5874,0
12,64.0518,3,1,0,1.4595,1
35,72.8244,0,2,0,-0.1192,0
14,100.033,1,2,0,-0.2725,0
52,73.5428,3,2,0,-1.094,0
7,47.7271,2,2,0,0.4307,0
44,69.0981,1,1,1,-2.3911,0
38,103.5113,0,0,0,0.2708,1
63,75.0766,1,1,0,-0.4723,0
7,26.6061,1,2,0,-0.5058,1
17,62.9937,0,1,1,0.2369,0
24,64.9899,2,0,0,-0.0813,0
55,15,1,2,0,-0.2714,0
0,68.15,1,1,0,1.1943,1
15,95.423,1,2,1,-0.435,1
53,61.0211,0,0,0,0.711,1
17,78.508,1,2,1,0.575,1
8,60.4159,0,2,1,-0.2753,0
37,67.1982,1,1,0,0.0361,0
42,58.703,0,1,0,0.9771,0
42,30.2454,3,1,1,-0.2465,0
60,102.0959,0,1,1,-0.6887,1
12,59.2824,1,1,1,1.7253,1
14,84.7489,1,2,1,0.6792,0
44,30.4465,2,0,1,-1.7745,1
4,71.8586,1,1,1,0.4641,1
57,64.5749,2,1,0,-0.8414,0
3,58.7105,1,2,0,-0.2468,1
0,107.8178,0,2,0,-0.0542,1
70,49.0426,0,1,0,1.1148,0
51,83.7508,1,2,1,1.4573,0
40,84.9632,0,1,0,0.8688,0
5,73.4698,1,0,1,0.1236,1
52,70.9334,3,0,0,1.1499,1
70,34.3194,1,2,1,-0.6191,0
28,70.2319,3,1,0,0.6449,0
51,102.9955,0,0,0,1.0719,1
55,87.1736,1,2,0,0.3203,0
3,62.6658,0,0,0,0.676,1
41,39.7434,2,1,1,0.736,0
37,58.6895,0,1,1,-0.3293,0
56,15.2589,0,2,1,-0.7792,0
49,77.9785,1,2,0,0.2089,1
50,75.1792,0,0,1,-1.9341,0
4,49.067,2,1,1,1.5495,1
64,69.8289,0,1,1,1.2952,0
56,49.7075,0,0,1,0.5956,0
26,55.0062,1,2,0,0.9865,0
17,87.8074,2,2,0,0.7171,1
40,48.0981,0,1,1,1.4049,0
30,110.5902,3,2,1,0.4764,0
6,71.0972,1,1,0,-1.2316,1
19,103.6746,2,2,1,0.4469,1
62,81.8883,0,2,0,-0.2578,0
1,72.6871,1,0,0,-1.2136,1
19,80.6038,2,0,1,0.4223,1
8,46.2125,0,1,0,-1.3664,0
65,100.6586,3,2,1,-0.7783,0
2,58.9984,0,1,1,-0.9444,1
6,50.0516,1,1,1,0.3154,0
30,66.527,0,1,1,-0.5687,0
68,82.4945,0,1,0,-0.1362,0
26,49.1527,0,1,0,0.2318,0
66,79.6697,0,0,1,-0.5304,0
44,62.5013,0,0,0,-0.1245,1
38,38.4865,0,0,1,-0.4076,1
15,15,0,0,0,0.5259,0
15,80.053,1,1,0,0.2288,0
42,37.2679,2,2,0,-0.7033,0
59,89.2366,1,0,0,-1.3,0
27,96.4125,2,2,0,-0.3915,1
24,54.2219,2,1,1,0.1906,1
38,111.3824,0,0,1,-0.2029,0
70,74.8576,1,0,0,-1.205,1
56,58.973,0,2,1,-1.1743,0
34,113.7472,0,1,1,-1.2066,1
32,33.5949,0,1,0,0.6318,0
10,15,1,0,1,-0.1888,1
64,54.3134,1,2,1,-0.154,0
27,64.6013,2,0,0,0.7988,1
5,51.2988,2,0,1,0.1103,1
33,106.0177,1,1,1,0.4444,1
57,60.2405,3,2,0,-1.1299,1
14,39.6336,0,1,1,-0.0881,1
48,64.7336,0,1,0,1.2684,0
28,27.3188,1,0,0,0.2878,1
59,75.6055,1,0,1,-1.4136,1
55,20.3123,1,1,0,0.8225,0
10,106.8377,5,0,1,-0.4578,1
52,47.8416,1,1,0,1.4707,0
22,94.3722,1,0,0,1.6128,1
65,90.8623,1,0,1,-0.0077,1
67,74.6287,2,1,1,2.0886,0
17,104.5356,1,0,0,-0.1566,1
32,124.7146,3,1,0,-1.4679,1
44,88.5155,1,2,1,0.3504,0
51,70.494,0,0,0,1.6584,1
61,51.4557,0,0,1,0.675,0
10,71.683,1,2,0,0.1928,0
8,131.081,0,1,0,0.4786,1
60,41.7137,2,2,0,0.0015,0
59,43.7308,1,2,0,-1.0695,0
59,54.1604,1,2,0,2.5304,0
5,74.1101,0,0,0,1.4588,1
29,82.039,2,2,1,-0.4166,1
21,73.759,2,1,1,0.0266,1
16,55.7711,4,1,1,0.0549,1
37,38.0097,2,2,0,1.6892,0
65,50.8633,0,1,0,-0.6368,0
46,87.0695,1,0,1,0.0756,1
21,60.0912,0,0,1,0.4211,0
34,108.0326,2,0,0,-2.163,1
35,109.6994,0,2,0,1.3729,1
2,88.4381,1,1,0,-1.4688,1
46,79.1703,1,2,1,0.6679,0
64,105.7742,4,2,1,0.5292,0
67,86.2731,0,0,1,-0.6614,1
38,83.9557,0,2,0,-0.6228,0
3,76.2104,0,1,0,0.9833,1
24,52.1454,2,1,1,-2.0646,1
30,41.3648,0,0,0,1.694,1
44,122.0311,0,2,1,-1.3782,0
0,38.9536,1,2,1,-2.2055,0
31,74.7207,0,0,0,-0.1247,1
39,15,1,2,1,0.2804,0
46,45.9049,2,0,1,0.9615,0
71,100.0842,0,1,0,1.3053,0
26,60.7248,1,2,0,-0.5304,0
69,101.2988,0,1,1,-0.9812,0
44,54.2183,0,1,0,-1.0658,1
50,37.4466,2,2,0,-0.5287,0
42,79.5466,3,0,0,0.6649,0
69,43.5454,1,2,0,-0.3904,0
2,51.9789,1,2,0,1.7207,1
27,32.7431,1,1,0,0.6627,1
69,49.9015,0,1,1,-1.4796,0
60,61.5167,5,1,0,0.1278,0
4,82.0938,2,1,1,-1.3511,1
21,82.9454,1,2,1,2.0682,0
51,90.6593,0,0,1,-1.4945,1
1,74.4971,0,1,0,1.3847,1
40,75.6374,1,0,0,0.269,1
38,42.0796,1,2,1,0.5618,0
57,97.6902,2,0,1,0.9794,0
69,49.4483,1,1,1,0.7318,0
33,95.9839,1,2,1,-1.5198,1
67,103.8017,4,2,1,0.9437,0
24,61.1403,0,0,0,1.5216,1
61,59.0229,0,0,1,-2.3064,0
6,55.4353,1,1,1,1.4187,1
14,86.3073,0,1,1,-0.0807,1
65,44.8674,0,2,0,-0.3755,0
31,15,0,2,0,0.5591,0
4,120.7825,0,2,0,1.0972,1
1,75.1058,2,0,1,0.7258,1
59,49.7395,2,0,1,0.4835,0
27,90.1925,1,1,0,0.0612,0
26,72.1979,1,0,0,1.1743,1
55,90.8708,1,2,0,-1.9996,1
65,117.4742,1,1,0,0.6758,0
10,70.8872,3,1,0,-1.2847,1
59,70.9211,1,2,1,0.4406,0
64,90.7017,2,1,1,0.5839,1
1,58.1756,0,0,1,-0.1789,1
67,64.6503,0,1,1,-1.0074,0
38,75.9868,0,0,1,-1.7698,0
70,64.5454,2,0,1,0.7103,0
52,97.8779,2,1,0,0.0709,0
67,73.7975,3,0,0,-0.6325,1
24,80.5691,2,2,1,-1.0613,0
43,100.722,2,0,0,0.5428,1
27,46.502,0,1,0,-1.0496,1
19,105.5872,2,2,1,-0.0291,1
5,66.2546,1,2,0,0.4403,1
21,69.6119,0,1,1,0.9527,1
26,119.9982,1,1,1,0.0202,0
43,98.288,3,2,0,0.7266,1
36,15,1,0,0,-0.7448,1
34,67.5921,1,1,1,-0.6466,0
53,43.1314,1,1,0,0.8471,0
26,58.4591,1,0,1,-0.5641,1
56,72.0057,3,1,0,0.7179,1
61,64.5707,4,0,0,-0.3051,1
10,94.7623,2,1,1,-3.1792,0
68,68.982,0,2,1,0.3179,0
36,51.2169,1,1,1,0.6779,0
3,80.5143,1,0,1,1.224,0
4,70.8911,0,2,1,0.4148,0
19,51.7884,1,2,0,-0.8791,0
3,63.8763,1,0,0,-1.7135,1
52,89.2458,2,0,1,-0.3471,1
35,35.5147,0,2,1,0.5949,0
40,81.457,2,0,0,-0.1615,1
39,34.3227,1,0,1,0.7346,1
69,84.5916,0,2,1,-1.4102,0
34,112.1046,0,0,1,0.3102,1
61,55.4003,0,2,1,0.7027,0
54,75.9425,0,2,0,1.0088,0
44,51.1856,3,1,0,1.206,0
55,45.1308,1,2,0,2.4925,1
33,69.163,1,1,1,-1.2854,0
62,61.2255,5,1,1,-0.6422,0
16,34.7863,1,2,0,1.6229,0
52,78.4557,0,0,1,-0.7314,0
27,50.2504,1,1,1,0.0003,0
13,57.2687,1,0,0,1.852,1
71,70.1141,0,2,0,-0.3993,0
47,72.4622,0,2,0,-0.575,1
9,76.2167,3,0,0,-0.1566,1
16,80.7959,1,1,0,-2.6793,0
46,56.3956,3,1,0,0.4251,1
50,101.0559,0,2,1,0.5755,0
69,113.7371,2,2,1,-1.4903,0
70,33.0426,0,1,0,0.8907,0
29,41.6598,1,1,0,-0.1858,0
60,71.5937,5,0,0,0.65,1
41,104.4933,4,0,1,-1.3709,1
57,45.4217,3,0,1,0.8511,1
8,74.6233,1,1,0,0.1992,1
37,33.4914,2,1,1,0.7208,0
57,42.0281,1,0,1,0.6418,0
32,97.1952,1,1,0,1.7941,0
60,79.8068,0,1,1,-1.3528,0
3,118.8165,0,1,0,-1.4858,1
29,129.606,1,2,0,-0.5619,0
50,23.7595,1,0,1,1.3678,1
60,56.0494,2,0,0,-0.1548,1
31,78.546,2,1,1,0.5372,0
24,67.5904,1,2,1,0.6871,0
16,24.8919,0,0,0,0.0585,1
1,77.4003,2,0,1,-1.2514,1
40,67.926,2,2,1,-0.9235,1
10,55.9816,0,0,0,0.8853,1
64,94.6744,2,0,0,2.1911,1
2,37.8043,2,0,0,1.9812,1
71,109.807,0,1,0,0.3912,0
64,61.6383,2,0,0,-1.1672,1
68,15,2,2,0,0.4639,0
47,52.1461,0,2,0,-0.3855,0
39,105.4497,4,0,0,1.3342,1
44,91.8796,1,1,1,0.0915,0
47,40.9776,2,0,1,-0.1771,0
53,97.4611,3,0,1,-1.1851,1
18,77.7519,0,1,1,-1.8639,1
22,50.2516,1,0,0,-0.4945,1
33,30.9571,2,2,0,0.0189,1
27,73.9252,0,2,0,0.968,1
13,83.379,1,0,1,0.827,1
37,44.3203,0,1,1,-0.5729,0
43,49.5987,1,2,1,0.0339,0
10,94.2408,0,1,1,0.024,1
26,16.9964,0,0,0,-0.3637,1
69,95.1331,1,2,1,-0.2335,0
60,91.711,2,2,0,-0.407,1
41,115.3129,1,1,1,-0.5472,0
18,49.6439,0,1,1,0.3767,0
39,68.9577,1,2,0,1.5167,1
68,62.5074,1,0,1,0.7803,0
3,95.9536,1,1,1,0.3472,1
21,15,1,1,0,0.7848,0
54,50.61,3,1,1,0.1826,1
20,97.7847,1,2,0,0.7022,0
0,93.8226,2,1,0,-0.8332,1
66,63.3077,0,2,1,0.279,0
7,60.0004,3,0,0,1.4797,1
60,78.6559,0,2,1,-1.3862,0
10,77.7411,3,0,0,-0.0008,1
40,28.0748,0,0,0,-0.0185,0
23,85.8529,0,0,1,1.1526,1
5,72.2852,2,1,1,0.5776,1
26,58.1391,2,2,0,-0.5565,1
57,15,2,1,0,-0.2519,0
57,73.936,1,1,1,0.6356,0
59,92.2192,1,1,0,-1.0861,1
20,25.0007,2,2,1,1.9108,0
30,114.7612,1,2,1,-0.4524,0
67,80.0256,1,2,0,1.447,0
2,39.0744,3,0,0,-0.0951,1
30,137.6007,2,0,0,1.623,1
29,31.1512,3,2,0,0.4687,0
2,54.3361,2,1,0,-0.7491,1
13,86.2579,0,0,0,-1.6844,1
38,66.9054,1,1,1,-0.1522,0
51,79.4604,0,0,0,0.7967,1
55,15,2,0,0,1.8242,0
45,43.0128,0,0,1,-0.1101,0
27,64.1916,0,2,0,-1.4488,1
54,99.0971,2,1,0,1.2395,1
61,95.3641,0,1,0,-0.8653,0
59,42.6751,1,2,1,0.1089,0
64,68.8291,0,1,1,-1.365,0
54,62.5744,0,2,1,-0.0504,0
49,48.3813,0,0,0,-1.4558,0
0,57.5244,1,2,1,-0.3233,0
32,15,0,0,0,-0.132,0
57,96.2556,1,1,1,-0.4908,0
28,42.5914,3,1,1,-0.6946,1
39,83.0251,2,2,0,-0.048,1
46,77.9336,0,1,1,0.8453,0
61,62.8179,1,1,1,0.8499,0
68,41.6221,1,1,1,0.0097,0
5,86.9476,3,1,0,-0.3164,1
10,83.8506,0,1,0,-0.4867,0
65,116.4895,1,2,1,-0.3139,0
16,67.544,0,2,0,-1.2999,1
25,86.8578,3,0,1,-0.8546,1
54,95.158,3,2,1,-1.6631,0
55,44.6942,1,0,0,-0.8396,1
59,59.6322,3,0,1,1.6091,1
56,72.406,1,0,0,-0.5308,0
51,52.6387,0,2,0,0.4141,0
4,92.0155,1,0,1,0.3195,1
62,61.2026,3,2,0,-0.9759,0
56,38.5888,1,0,1,-1.094,0
17,63.6599,0,2,0,0.7784,0
52,91.7673,2,1,0,0.138,1
30,97.5211,2,1,1,-0.4613,1
59,97.0046,0,2,0,0.0715,1
42,58.7697,1,1,0,-0.957,0
31,88.6695,2,0,1,0.7027,1
45,67.9208,3,1,1,0.9079,1
23,107.0431,0,2,1,1.2501,0
51,47.3618,1,0,0,-0.6038,0
35,50.2583,1,2,0,1.0527,1
2,76.3948,1,1,0,-1.0108,1
18,43.8673,1,2,0,-0.7017,0
46,91.6205,0,1,0,-0.1352,1
14,73.6042,2,0,1,-0.7203,1
18,52.0418,2,1,0,-1.3013,0
40,71.9527,0,0,1,-0.4264,0
21,118.5089,0,2,1,-0.5802,0
19,68.2659,0,0,0,-0.2029,0
55,103.3893,1,1,1,1.0817,0
62,23.4975,0,1,1,0.2704,0
14,98.4128,2,1,0,-0.2845,1
66,78.5295,1,0,1,0.428,0
49,56.2089,0,2,1,-0.5979,0
18,56.8327,0,1,0,-1.2921,1
60,64.2609,1,2,1,1.0809,0
12,45.8788,0,0,1,-0.1175,1
50,29.666,1,1,0,1.2231,0
4,82.653,0,0,1,2.2552,1
53,69.2291,2,1,1,-0.4157,0
37,38.1788,0,1,1,-0.0341,0
54,73.9362,1,1,1,-0.8396,0
63,82.1103,1,2,1,-2.4841,1
70,82.2004,5,0,1,0.1144,1
60,39.5405,0,2,0,-0.8326,0
14,99.5811,0,2,1,0.6318,0
17,50.02,1,2,1,-1.5757,0
63,77.8309,2,2,1,1.5941,0
48,50.3709,2,2,1,0.5611,0
43,101.0075,1,2,0,-0.2136,0
6,39.6079,2,2,1,0.2987,0
14,49.348,0,1,0,0.0196,0
1,54.9201,1,1,1,-1.1507,1
22,117.4888,1,2,1,0.2442,1
49,64.9239,2,1,0,-1.3193,0
55,94.9328,3,0,0,-0.0047,1
71,45.1387,0,2,0,1.2743,0
66,124.9859,0,2,0,0.7257,0
69,15,1,2,1,-0.498,0
4,99.5202,1,2,1,-0.1473,1
21,110.253,1,1,0,0.256,1
41,56.5385,2,2,0,-1.14,1
27,71.2551,1,2,0,-0.6796,0
15,102.7565,3,1,1,0.0727,1
21,15,2,1,0,0.8042,1
36,82.5133,2,2,0,2.0815,1
68,31.9572,3,2,0,-0.5859,0
13,70.2722,0,1,0,0.3275,1
16,42.0335,0,1,0,0.2834,1
18,27.4895,0,0,0,-0.4618,1
38,21.5324,1,1,0,-0.0522,0
24,39.0961,2,2,1,-0.1062,0
5,114.7777,0,2,0,-0.2407,1
43,91.902,3,1,0,1.4614,1
38,88.0061,0,2,0,2.5596,0
10,68.9073,2,2,1,-0.631,1
1,59.8661,0,2,0,0.4909,1
70,60.9367,0,0,1,1.0147,0
29,89.0618,1,0,0,0.5518,1
43,80.012,2,2,1,-0.3313,0
70,85.0333,3,1,1,0.8366,0
52,28.4033,0,2,0,0.2487,0
46,44.3366,1,1,0,0.5067,0
37,93.2131,0,0,1,-2.2211,1
35,89.8436,1,2,0,0.0376,0
69,15,0,2,1,-1.1769,0
41,92.9466,3,1,1,1.1928,0
42,87.44,1,0,1,-0.5871,0
33,41.6546,0,0,0,0.2563,0
25,84.081,0,1,0,-0.1091,1
33,70.8207,2,0,1,-0.5384,1
8,63.2166,0,2,0,-1.3095,1
12,67.7251,0,0,0,0.7262,1
62,48.6728,1,1,0,-2.2405,0
12,59.1551,0,0,0,0.8502,1
24,55.3623,0,0,1,-0.5455,1
33,73.6304,0,1,0,0.4643,1
55,79.7669,0,2,1,1.2791,0
30,89.3149,2,0,0,-0.5921,1
60,46.3812,1,1,0,-0.5811,0
8,75.8116,1,2,1,-1.4886,0
50,61.0197,0,1,1,-0.8275,0
23,115.2194,0,1,1,0.2014,0
50,59.9504,0,1,1,0.0439,0
52,69.0896,2,0,1,-0.998,0
19,62.555,3,0,1,0.8784,1
66,103.2492,1,1,1,1.215,0
66,58.9775,2,1,0,-0.2506,0
59,65.0669,0,1,0,0.8396,0
27,38.3721,1,0,1,-0.4498,1
35,78.8706,3,0,0,-0.3354,1
67,60.4545,3,0,0,0.1587,1
51,56.2165,1,1,0,-0.906,0
1,68.4733,1,2,0,-0.2758,1
20,35.9601,1,1,1,-0.247,0
1,73.8842,1,2,0,-1.6658,1
22,33.3979,2,0,1,-0.5477,0
1,51.1266,2,1,1,-0.6795,1
71,96.5362,2,2,0,0.7695,0
64,86.1459,1,2,0,0.5902,0
42,70.8932,2,1,0,-0.3266,1
31,45.2358,0,2,1,-0.2941,0
40,29.7316,2,0,1,1.5609,0
67,65.4047,1,2,0,2.4983,0
59,94.5485,4,0,1,-1.9326,1
59,47.3165,0,1,0,0.3982,0
60,71.7535,1,2,1,-1.3325,0
31,29.5188,1,1,1,-0.3023,0
62,93.0743,0,1,0,-2.0268,1
2,43.8518,1,0,1,0.4626,1
0,104.1235,1,0,0,1.4806,1
24,116.8866,2,2,0,0.3985,1
31,60.7617,2,2,0,-0.7121,1
1,87.9551,1,2,0,-2.4256,1
18,105.3962,1,2,1,0.1105,0
70,55.7821,3,1,1,-0.5678,0
49,64.6646,0,2,0,-1.1847,0
27,29.6382,1,1,1,0.8899,1
23,118.4898,2,1,1,1.121,1
39,103.7073,1,1,0,-0.7962,1
56,71.496,0,2,1,1.6845,0
5,79.1468,1,0,0,-0.1999,1
55,91.9123,3,1,0,0.4369,0
3,86.066,0,1,1,0.7911,1
29,53.195,1,1,0,-0.0114,1
0,85.057,1,1,0,0.3931,1
17,84.8846,3,0,1,0.1308,1
39,62.0527,1,0,1,0.3019,1
10,88.9298,1,2,0,-0.6015,0
21,56.7183,3,1,1,0.9961,1
11,50.657,1,2,1,1.1304,1
56,65.4136,1,0,0,0.5449,0
22,43.1494,1,2,1,-1.0351,0
28,79.9936,2,1,1,0.3032,1
47,89.4974,0,0,1,-0.2702,1
38,55.9435,1,0,0,0.8649,1
9,107.5053,0,1,1,-1.0459,0
53,25.5429,1,2,0,-0.0704,0
26,66.53,1,2,0,0.1593,0
45,43.4197,0,2,1,0.4742,0
53,36.0789,0,2,1,-0.4906,0
55,97.0304,3,0,0,1.4883,1
59,104.6994,1,0,0,-1.28,1
38,67.0822,0,0,0,-0.6309,1
70,58.1173,0,2,1,-0.3774,0
29,98.3978,0,0,0,-0.779,1
63,73.4397,1,2,0,0.1357,1
16,83.921,0,1,0,1.4889,1
37,73.9728,4,0,1,-0.3555,1
34,67.7583,2,0,0,1.3983,1
66,77.7518,0,2,0,1.7685,0
9,46.1867,0,2,1,-2.3567,1
61,85.2329,0,0,0,0.033,0
40,102.8851,1,0,1,-0.2285,1
57,90.7725,1,2,1,-0.1322,0
6,78.7501,1,2,0,0.5327,1
24,46.7853,1,2,0,0.0598,0
44,74.1096,2,0,0,-0.9931,0
42,106.4263,2,2,1,-0.2029,0
38,124.205,2,2,0,0.7925,1
56,81.7138,2,1,1,-0.193,0
49,59.1932,0,1,1,-0.6705,0
30,55.0897,1,0,0,-0.5196,0
1,115.5467,1,1,1,-0.4655,1
40,80.9721,0,2,1,-0.6901,0
13,86.2341,1,1,1,0.0121,1
65,15,2,0,0,0.6486,0
