rooms,area_m2,age_years,km_to_centre,quality,reference_id,price
5,86.1227,55,22.7194,2,-0.2251,2186.1417
1,65.1035,43,0.2143,3,-1.2438,5125.8922
2,43.6702,12,15.0125,4,0.4634,7705.6581
6,25,20,0.6132,5,0.0713,24249.5956
2,83.4347,10,13.2587,5,0.3061,15404.7638
2,38.8407,54,4.7224,3,-2.2119,3727.2119
5,93.9813,39,4.9815,2,-0.3041,11999.1829
5,89.7516,73,13.7347,3,0.5788,8285.6042
5,126.1586,52,6.8077,2,-0.0205,12936.386
2,61.2235,52,6.2948,5,-0.3184,12819.1945
4,117.9552,52,11.0983,5,-0.7797,16275.5352
2,66.3365,66,6.2724,4,-1.6984,10635.4717
5,155.2678,60,12.3324,2,-0.765,9402.0675
1,102.1804,18,1.0685,3,0.8766,7265.425
6,63.3469,73,1.7314,5,0.0886,21003.365
3,118.4246,76,7.4257,4,-1.936,13121.0382
4,46.7297,71,1.2151,2,0.1359,5443.8668
6,88.2927,47,2.5113,2,0.118,13114.7035
1,154.2523,25,15.5619,1,-0.6524,3070.4213
4,103.707,47,6.1315,4,-0.1776,16589.1023
1,29.3672,27,0.2,1,1.887,2683.9126
3,145.4416,42,7.9422,5,-1.019,21016.9859
5,113.9311,1,3.4748,2,0.4565,16737.5401
3,132.31,56,0.3738,4,-1.5124,17717.0215
6,58.5164,70,12.6136,5,0.2251,16842.5588
3,103.2811,47,4.9615,2,0.4061,5338.5747
5,115.1375,48,14.5725,2,0.29,8139.77
3,102.6234,24,0.6158,2,1.9051,7870.8441
5,48.7329,33,10.6558,3,-1.4422,11741.5887
3,139.1085,43,3.5529,3,1.9283,13281.5171
6,49.9805,45,17.6264,2,1.1896,7045.806
1,74.8357,3,2.9251,4,-1.3861,15560.5638
6,97.1216,77,3.7038,3,1.1005,11360.311
4,112.5456,9,11.0396,3,-1.3964,12957.6109
6,107.157,25,9.9045,5,-0.2272,27035.1735
1,89.22,42,19.3036,5,0.3796,9783.3699
2,61.1676,9,6.1509,1,1.4722,5324.346
5,109.6016,3,8.635,4,1.4866,26575.7077
2,90.9319,55,4.1884,2,2.1826,1908.7802
6,56.7326,12,6.0833,3,3.1845,16039.882
1,33.3622,36,0.7281,3,0.6494,2699.6014
3,92.4809,23,6.8271,2,0.1745,6347.7715
6,98.0868,40,2.8986,3,0.9037,18143.7582
2,81.9663,10,12.7323,5,-1.3705,16112.6781
3,116.5257,14,2.6196,5,1.1952,24139.2621
3,130.6349,49,4.5445,4,-0.5913,17321.2131
4,89.7796,63,16.7308,5,0.9436,12514.5494
3,130.3838,63,5.2364,5,-0.4469,18559.863
4,78.0435,14,6.0549,1,0.1581,9875.8641
1,104.3296,46,0.4548,5,0.0343,16852.0838
3,115.3798,4,8.3046,5,-0.414,23311.9993
5,105.6179,24,1.3472,2,0.4945,16752.1688
3,63.4182,20,9.0551,4,-0.1458,15377.4829
3,116.1127,72,4.5438,3,-0.1502,7746.2732
6,113.1415,31,2.6176,3,0.2644,19630.9716
6,135.9592,65,0.3169,2,-0.286,14271.3689
1,128.6174,74,0.6451,2,0.0126,2147.3534
2,28.7137,61,16.4827,2,-0.3428,-6405.5678
6,63.1744,17,3.6231,4,-0.3245,21449.8194
2,98.9443,5,0.5901,4,-0.2736,20847.7052
2,87.1371,24,0.4154,4,0.3918,14741.2668
3,161.8272,18,0.2326,4,-0.4144,24762.7315
1,63.5107,46,10.3962,1,-1.6881,-2279.1722
6,43.3836,67,0.413,1,-1.1983,7199.3184
6,70.4423,44,8.9011,2,-0.0987,10788.9038
1,46.4872,54,3.6723,2,0.7158,-487.2468
1,109.3831,53,16.0437,4,-0.2649,8554.1436
5,82.1038,52,4.1996,4,0.2157,16882.6601
5,71.7827,75,4.9169,1,-0.0174,1121.5157
4,158.2561,50,13.7627,4,-1.4935,19735.7401
4,119.1776,4,9.1834,2,0.1372,13482.1903
2,46.1158,55,4.5348,1,1.0769,-2164.7985
4,125.2095,46,0.9808,1,0.7093,8381.9489
4,78.3212,10,3.6226,4,-1.0016,23244.0894
6,74.0764,60,0.3342,2,-0.6252,10473.7735
2,151.9468,55,4.3162,4,0.0871,15359.7277
1,121.3774,10,5.5779,1,1.3371,4682.029
3,102.3701,34,25.3569,5,-1.131,11313.8337
1,150.5431,40,0.4387,4,1.2509,17494.8699
4,82.5837,57,4.1632,2,0.0894,9640.5496
5,126.3103,32,10.1112,4,-0.5909,22973.4366
3,107.7827,30,5.3732,4,0.2821,18585.0462
3,98.7893,70,5.8597,5,0.9521,12913.4779
5,84.5373,78,11.4841,5,0.4315,14076.6599
3,83.7689,10,10.3184,3,0.2085,9349.0932
3,121.1312,49,0.2,4,-0.4103,18017.9757
3,62.0557,35,9.1247,4,1.1417,12813.0746
2,79.0866,27,6.3718,2,-0.624,5973.5952
1,117.4356,74,2.2174,5,0.6504,14564.9054
3,65.4041,70,2.553,1,0.8231,2653.3225
4,58.9541,46,38.6413,3,0.2202,-3473.7118
6,111.3293,51,0.2,1,-0.3227,13643.8852
1,126.9453,50,0.4512,2,-0.7568,5416.8684
4,80.8177,19,16.0406,1,-0.8001,6032.7628
4,94.7344,15,5.735,2,-0.3354,11136.9081
2,66.5748,17,15.2644,1,-1.3118,1284.3647
3,41.3746,49,16.3001,5,0.393,8957.9258
5,151.1954,36,5.0875,1,-0.1631,12659.1661
1,86.0225,19,3.8633,3,-1.9926,7427.8174
6,147.6354,23,1.5226,3,-1.4629,21306.3516
2,60.2328,34,3.6667,2,-0.2332,4153.5192
4,128.5946,34,2.0938,5,-1.607,23522.2719
5,102.8913,19,5.2952,1,0.2715,13807.4537
3,121.6207,64,11.6693,3,-1.3609,4627.7284
6,83.0931,13,10.7183,1,0.7181,10393.7819
4,51.423,77,7.1052,1,2.0195,176.2025
4,121.2309,6,1.1375,2,0.3846,16878.4528
4,81.4425,35,5.0803,1,-1.3601,7201.9031
4,109.8263,58,6.6286,2,-0.9729,7456.4765
5,94.3625,59,2.4091,2,-0.9024,9879.6281
3,104.2282,28,3.2103,1,0.421,3630.1105
2,102.6147,59,18.7472,5,-0.7695,13959.8431
6,108.6216,38,5.5808,2,-0.1647,13829.6058
6,107.271,21,1.3551,4,0.3188,27861.4766
2,81.1477,54,0.8348,1,1.3181,1404.6735
3,92.0772,50,3.2131,2,0.3194,5035.5344
4,92.7628,2,1.6606,4,-1.0444,22852.0258
3,41.2564,36,9.8378,2,-1.0828,3236.7349
6,102.9575,15,7.3254,5,-1.1124,29600.5671
3,100.9658,64,4.9353,3,1.6423,6870.489
3,32.7265,65,3.658,2,1.5606,2863.6126
1,120.4084,25,2.8171,5,-0.6197,21424.634
3,74.6456,11,0.9264,1,-1.5444,4849.4578
3,72.8028,2,0.5813,2,0.812,12028.4673
5,73.7939,46,0.3419,1,0.6853,10139.9724
6,114.8913,17,2.8007,3,0.712,22333.314
5,73.5592,78,3.2359,3,-0.4,9306.745
2,42.9927,0,4.3414,2,-0.1779,6868.668
3,101.0271,9,6.0021,3,-0.9578,13221.8885
3,105.0338,10,4.1764,1,-0.9446,7977.6459
2,85.4362,53,27.7454,5,0.6732,4549.3174
3,89.2992,10,2.4161,4,-2.4638,20617.5786
5,103.575,73,13.7525,3,0.9935,7402.7962
4,183.098,54,1.8217,1,-0.4409,10668.3426
2,112.943,67,37.3678,5,0.2668,2440.3868
1,155.4741,20,5.0259,2,-1.4697,8568.2544
3,82.3515,19,0.2,4,1.1649,18725.6553
6,96.3389,4,4.9362,3,0.2186,21518.356
5,133.6093,0,25.7921,3,0.385,15897.909
4,67.5866,32,17.7025,4,0.5098,10678.5736
6,67.3861,77,15.5586,3,-0.0284,6490.2432
1,25,33,3.3147,5,0.2512,12078.6
1,69.9679,26,1.3449,4,0.3538,16438.249
4,95.6424,59,9.9275,4,-0.7951,13912.4892
1,126.7777,9,3.9917,1,1.2864,4027.5217
2,98.7019,26,3.8401,2,-1.0301,7181.73
1,89.8445,8,10.3105,5,0.3695,17751.683
5,136.0977,17,16.9894,5,2.1156,24997.8369
3,136.0012,35,6.4697,5,0.6154,23157.1634
2,95.4728,17,0.7452,5,-0.5816,18256.7273
5,44.8914,38,16.5268,2,-2.0794,3614.7293
4,32.2864,5,0.5329,1,-1.463,8797.9129
3,124.323,15,4.8439,1,0.4292,6249.3607
2,89.227,15,7.4084,5,0.4988,20782.8907
1,147.6263,16,0.2602,2,0.77,10497.0486
4,113.4361,22,31.9986,3,-0.6756,4695.9853
5,133.9341,1,7.5828,2,-0.1764,17951.9317
6,40.6667,79,10.4173,4,0.8732,11980.3924
6,59.6916,50,0.9473,3,-1.3872,14546.2925
3,53.577,31,7.1396,3,-1.4589,6407.2757
2,201.567,11,3.4981,3,-1.1343,15561.5091
2,155.9849,3,7.2427,2,0.5342,10630.419
3,109.568,64,0.5834,3,-1.4276,8632.5323
6,101.2964,2,13.9918,4,-1.6039,23074.1259
1,39.9758,68,8.8869,1,-0.6264,-6569.6154
3,110.5628,28,4.6796,3,-1.1726,12633.5917
6,116.0299,36,0.2,4,-0.3548,27395.2558
2,97.0736,2,15.2026,4,-0.9387,13306.8916
6,142.793,46,25.0632,4,-0.3996,15022.9098
5,46.4679,19,2.8506,2,0.9698,13930.9644
4,115.3142,32,16.7563,3,-1.0764,10304.2639
2,97.0691,52,3.3859,2,-0.8075,4884.6442
4,35.9359,33,1.7095,4,-0.3922,14483.9946
6,79.5481,74,10.4207,5,0.7412,19507.5044
6,108.833,18,5.02,2,0.0615,18798.3008
5,107.0681,16,12.1143,5,0.7602,24080.4622
6,28.6518,46,2.9364,4,0.7965,16201.9844
5,81.991,30,11.2185,3,-1.3362,13329.1247
5,80.1578,5,4.827,2,1.0551,15424.5174
2,110.6239,5,4.7972,1,-1.123,8571.7257
6,146.0646,7,1.019,5,1.4161,37178.2948
1,72.944,18,0.2273,2,-0.4198,5780.7361
3,101.8736,56,14.7437,1,0.5056,912.1934
4,116.5676,76,2.6855,4,0.0787,17775.0452
4,116.1077,20,2.5297,4,-0.5223,24449.4345
1,97.7524,19,8.7249,3,0.3256,7196.6335
4,75.4823,55,8.5477,3,1.1117,4163.4223
5,93.2655,76,21.1033,4,1.0807,10098.4256
2,78.2939,74,17.38,3,-1.8669,-1322.9121
2,82.471,37,20.5216,4,-0.3987,7592.8467
5,47.8414,30,0.6482,1,-0.193,8319.5814
6,149.4412,16,1.8115,4,0.1171,29286.4637
2,88.5583,14,6.3681,2,-1.3836,6871.2116
6,75.227,78,5.0525,3,0.6683,11419.5896
6,135.2821,54,18.9588,5,1.7795,19395.9507
5,36.2197,36,11.6134,2,1.0319,9899.8829
2,87.8484,32,1.0284,5,-0.3406,17878.4612
3,49.8513,31,21.0679,2,1.2642,1298.9297
6,115.4681,9,1.0566,4,-2.5532,30915.9259
4,108.7016,7,6.1564,4,-0.0937,22846.6871
2,132.9002,8,5.0213,2,0.6758,10547.4128
5,25.9329,35,14.452,3,0.0421,6882.2166
2,132.2165,42,12.0027,5,1.7634,17912.7684
3,96.1788,53,5.0154,2,-0.0846,3479.6832
5,139.3493,74,8.9348,1,-1.1884,5757.0819
5,93.4754,39,15.4078,5,-0.4829,17214.1192
5,78.3542,9,7.7007,3,-0.0195,15880.1068
1,110.8574,29,6.6718,3,-0.858,8491.6404
3,67.6724,41,9.1987,2,1.1755,3730.1379
5,91.024,53,16.9202,4,-0.7417,12584.5589
6,100.7514,70,1.682,2,0.1173,13169.8121
1,78.5502,3,4.9515,4,0.3334,16180.1979
5,25,31,4.3309,1,-0.56,6986.6119
4,115.9249,26,1.5939,3,1.3433,16537.6549
2,41.9344,48,4.0749,2,-2.0858,4524.2968
2,67.5295,75,0.2002,3,-1.1807,3345.3772
2,149.7435,60,6.555,1,1.6659,-1717.9451
5,143.896,59,9.7184,5,1.2123,20981.2402
2,36.9695,45,8.5632,5,-0.4609,10030.234
1,100.6674,64,8.8406,5,-0.055,10189.1488
6,136.5716,32,1.4602,1,0.3396,13774.8707
4,120.3025,9,11.5797,5,-0.1752,24933.2304
1,67.0656,39,6.0215,2,-1.0366,3241.6463
4,25,16,0.8459,5,-0.9643,18279.8497
2,118.157,29,16.0345,2,0.0923,2742.7806
3,86.9441,32,1.8125,5,1.1627,19976.7714
1,93.6854,23,1.5129,4,-0.8233,15801.363
6,92.3254,62,5.5266,5,2.4905,22699.3767
1,83.7424,73,9.8338,2,-0.4624,-114.6815
6,122.27,30,2.3194,5,-1.3278,30597.2623
3,86.9782,25,6.2632,4,1.3588,18154.0693
3,38.4955,64,9.6556,1,0.062,-2363.5522
1,97.6342,58,13.0676,3,0.7804,3118.8938
6,57.6904,26,2.5078,5,-1.3441,25366.3037
4,25,1,14.7882,3,-1.4494,7426.119
1,85.133,58,14.4965,5,-1.1906,7642.9899
3,40.6528,61,6.2698,2,-0.0497,867.5738
5,94.2599,55,6.4801,5,-1.1129,21970.9376
5,120.0381,47,0.6571,3,-0.3933,15250.3483
1,92.6469,0,2.5141,5,-1.0014,19381.4618
4,92.9514,77,1.9123,5,-1.1031,18779.6405
5,169.3235,18,10.1589,1,-1.4722,13162.9946
4,80.4657,37,0.2,4,1.2107,19696.7698
3,110.2517,10,9.0067,2,-1.5872,10655.6589
6,109.8872,70,23.6442,1,-0.5078,1736.8009
3,126.631,68,5.778,2,-0.7333,6787.1492
2,63.0781,2,17.762,4,-1.9919,10098.8583
6,92.1231,5,6.7635,4,0.4251,27821.5289
1,83.0568,77,3.963,5,-0.7685,9295.9041
3,52.2554,49,0.468,2,-0.0136,5939.6559
6,162.3093,79,2.0979,2,-0.8453,14147.1057
4,87.1895,42,6.368,1,2.3274,8325.7566
4,105.2533,71,3.1253,1,1.2699,2863.1318
5,134.5208,50,2.7604,3,0.7582,15116.8395
3,202.4196,26,13.4113,5,-1.4171,26816.6498
5,65.3399,23,1.7338,3,-0.0623,14344.7966
3,124.2769,64,0.5676,1,-0.0417,4940.5623
3,67.2603,73,42.1768,3,0.7701,-6370.1301
6,88.4285,13,3.3815,5,-0.1913,27104.3241
2,62.8252,39,4.0975,5,-0.0224,15166.5911
4,126.0879,79,12.6152,2,-0.5654,2157.3372
6,105.3742,45,4.1041,4,-1.0589,25040.4286
5,25,13,2.9573,1,-1.1554,10269.6184
5,52.3673,77,0.9398,4,0.3747,15724.2391
3,54.3181,18,5.5124,1,-0.3585,6334.2572
5,110.2245,60,9.4426,4,0.2719,19508.6001
4,82.2314,31,32.3408,1,0.0281,-6462.4793
3,61.0567,52,8.5492,5,0.1623,13553.9784
5,85.4272,42,4.6678,2,0.3518,8673.2368
2,64.2991,64,4.9075,1,0.5109,-1560.7977
6,153.6375,57,24.008,5,0.5567,21089.1069
4,116.9951,3,3.2399,4,-0.4472,25102.8029
4,103.9233,69,7.9143,3,1.0635,8977.2063
6,64.0202,51,9.2067,4,-0.9299,16258.0982
6,63.5569,34,3.4182,3,1.1373,14565.0143
1,67.0643,37,1.5394,1,-0.1973,-435.2044
3,133.8651,45,12.2029,1,0.8623,1785.0186
3,176.0655,27,5.7043,5,0.2427,25083.0376
4,116.7651,60,3.5175,5,-0.2398,20585.9636
4,149.9743,49,0.2,5,-1.6611,24736.7164
3,130.129,63,1.0126,2,-1.0236,5588.3477
6,143.0813,24,10.5857,4,0.5277,30273.5273
4,142.4985,10,6.935,5,-0.5283,27214.359
3,62.4409,75,2.2973,4,-0.5118,10671.5577
4,91.9028,45,14.4925,5,1.2299,15369.0005
4,130.9664,58,30.7334,2,0.854,231.8884
1,156.275,43,0.2,1,0.2193,2543.0783
1,44.3102,5,4.5093,5,0.103,14739.1923
5,79.2964,56,4.3258,3,0.2734,10561.5619
5,190.417,19,9.3644,2,-0.0344,15982.7463
5,159.6622,70,15.3574,1,0.4934,4402.7183
6,106.8853,36,7.9922,5,0.2349,29217.6303
3,117.1689,68,7.6337,3,1.3037,5953.43
2,77.9818,71,8.7449,1,0.4095,-3499.4261
3,86.7054,23,10.3096,3,0.7788,8803.5671
6,81.1282,7,7.9031,1,-1.6168,13908.4309
4,25,23,3.12,4,0.2786,14510.5297
5,104.6243,15,2.1124,3,0.2531,17685.8348
4,105.89,61,2.5745,1,-2.4503,5514.745
5,103.9699,1,20.1601,5,1.4781,24048.3914
6,99.9449,78,2.2576,2,-0.424,11047.3916
6,74.8376,27,0.656,3,0.126,16375.3869
5,130.0426,6,10.5171,3,-0.2959,18694.7473
5,102.7052,71,21.2999,4,-0.4094,11908.2491
6,50.5104,31,9.5858,5,0.1287,20787.3395
6,52.5208,40,0.2,1,-0.93,12588.3062
3,25,67,0.6366,4,-0.5983,10239.0299
4,168.7267,23,0.4324,3,0.0446,17519.5586
1,98.8256,77,4.4659,2,-0.1787,-684.0583
3,25,61,6.3375,2,0.5381,-1026.5923
1,83.625,78,0.2,5,0.0383,11378.6815
3,102.1039,44,3.9635,1,-0.2126,2942.5195
4,125.3435,49,4.7963,5,-1.1649,20476.6172
3,108.2404,79,20.3333,4,-0.6297,5194.521
4,73.9371,16,13.6921,2,0.4185,6449.5798
5,140.7084,61,9.5158,4,-0.571,19902.9046
6,36.7885,17,2.2013,3,-0.0925,16863.416
5,143.9517,33,1.2551,4,-1.9738,28175.0134
1,78.2976,29,0.2,3,-0.6708,6957.969
3,79.6457,59,1.2086,3,0.3287,8684.518
6,124.3491,24,4.8724,4,0.4859,26357.7784
1,101.8528,27,7.1689,5,0.7278,16744.2371
6,56.8443,1,45,4,1.2825,6963.514
6,169.366,67,2.5881,2,0.6297,14356.5111
5,161.5279,10,2.1206,2,-0.4495,18625.4226
3,119.2353,70,23.3065,3,1.162,1042.7127
4,109.7759,59,1.1897,2,0.6677,7965.4555
6,156.7643,47,3.8192,4,0.2203,28152.3538
4,45.684,7,9.6909,2,-1.855,6884.5234
3,122.2001,62,7.2209,3,0.1779,7752.6998
3,42.5564,23,0.2443,2,0.4945,6958.7866
2,70.421,66,18.883,1,0.5773,-6364.9142
5,113.865,3,6.2941,2,0.9496,16342.2815
2,82.2888,49,19.966,3,1.4488,258.9973
4,45.659,67,1.8113,1,-1.0417,1883.5414
3,105.0814,24,0.7678,3,0.3518,15710.8408
3,68.9639,76,17.0036,4,-0.4985,5527.0887
4,99.5129,43,0.4876,5,0.7542,19895.7472
6,80.3852,65,40.001,1,0.3728,-3989.3256
1,65.2558,31,4.4991,2,0.1469,6230.3728
3,66.5516,72,3.5699,5,-1.216,12185.9677
3,67.2628,3,23.8324,3,1.1695,5188.2877
3,133.3669,64,13.5481,4,-0.3228,12268.8665
3,133.8209,8,3.1423,3,-1.4945,14756.6692
3,127.5736,64,1.4012,4,0.3573,15253.4607
6,37.4541,16,8.8198,4,0.9188,18427.3575
3,84.7871,63,17.2062,3,0.0782,3056.5425
6,59.6212,4,1.5027,1,-0.4635,14971.4129
2,66.9359,5,27.378,4,0.5861,7345.9562
5,107.4678,4,2.0603,3,-0.7561,19983.708
4,77.1371,20,5.9249,1,-0.6666,6435.0647
2,51.6459,47,17.2692,3,0.2883,-436.2041
4,35.1851,11,4.7976,4,1.2186,14713.7049
1,101.7998,12,26.9984,4,1.0535,7647.383
4,106.7474,44,7.7552,1,1.3653,4556.3365
1,70.8276,12,5.618,2,-0.5776,4518.6022
5,71.4631,53,27.7198,1,-0.7571,-566.9654
5,91.3257,43,9.6972,2,-1.034,7620.2934
1,58.0167,23,30.3878,1,-0.3603,-8921.3775
6,57.086,55,2.4264,1,-0.3736,9396.3453
2,52.7139,16,5.4544,5,-0.0371,14784.6232
1,97.865,53,10.4221,3,-0.3964,3895.1349
2,143.3936,52,24.7152,3,1.4337,-1608.9996
6,110.7083,53,27.86,2,-0.724,2695.4103
4,25,63,13.4306,5,-0.5651,6683.5217
2,78.7855,2,7.7507,3,1.2868,11441.4702
2,52.9223,10,1.0455,2,0.2242,9045.0335
1,94.7045,1,2.1763,3,-1.0201,13997.9757
6,138.2733,27,32.5442,1,-1.5504,3532.2312
1,109.0651,10,5.9888,2,0.8934,10126.2242
5,96.4956,53,1.3388,5,1.2268,24260.5985
3,48.9519,18,4.7193,4,-1.1915,13738.0314
4,95.5223,9,9.4399,1,0.6213,6724.0383
2,132.6126,50,0.8613,4,-3.7514,17970.8983
4,81.9728,46,1.7423,3,0.148,10303.2736
3,109.7076,46,0.6746,4,1.5158,17878.2559
1,100.8344,75,3.7987,4,1.0636,10336.0366
5,61.8635,24,1.6963,1,0.3254,11853.6978
6,99.36,57,1.5658,3,0.3916,17993.4266
6,143.9114,24,8.9756,5,0.13,27557.7401
4,54.748,52,8.2759,4,1.3053,14327.2345
4,39.8873,72,1.4278,4,0.1023,11152.693
5,85.6725,73,15.5446,3,0.36,3989.9651
5,146.8564,5,6.81,3,-1.28,20682.3131
6,125.5613,74,0.2,2,0.3828,12212.5659
5,77.9024,51,1.7676,3,-0.1631,11794.6871
1,146.5243,21,3.3244,3,-0.4125,11427.5497
3,86.1003,29,11.6884,3,-0.1873,6902.3505
1,98.0353,14,7.4777,2,1.2517,6621.9582
4,129.4719,78,10.4091,5,0.4314,17563.5365
6,116.0947,6,6.9004,5,1.364,31211.7451
6,149.0805,39,10.8294,3,-0.377,17473.3319
5,105.8993,63,7.4139,1,-1.0014,6519.932
5,164.9407,49,13.1004,3,-1.37,13397.4402
2,94.6093,63,8.8393,5,1.2673,12852.5763
3,134.9769,21,1.1298,3,0.3806,14397.9409
3,90.9067,28,5.6988,5,-0.1778,18165.9475
2,45.7826,17,5.4553,4,0.0858,12878.1816
1,133.8764,10,12.6502,2,1.71,6898.4958
3,81.3771,23,2.0132,3,-2.4903,9218.5952
3,52.5509,77,9.438,4,1.2957,4721.2081
5,81.065,76,10.5342,4,1.3268,13068.421
1,77.6533,21,11.0498,2,-0.7198,4301.9733
5,48.8694,50,5.4504,5,0.7368,16507.1418
6,119.659,57,0.2,4,-0.6608,25690.4848
5,106.8575,44,9.2961,5,-0.2512,25088.5005
2,85.2074,17,5.4047,4,-0.6505,15529.9612
2,103.9384,45,4.2923,3,-0.9768,10057.5963
2,32.0999,25,6.6141,2,-0.9714,3232.9863
3,47.9471,25,0.6512,3,0.1719,12040.6856
2,55.0292,22,15.6103,2,-0.3343,172.3853
4,114.8265,35,1.8524,3,0.8784,12567.0816
5,150.2217,25,1.1057,2,-1.0813,17225.4666
5,70.2282,21,7.3153,2,-0.6653,12009.0175
6,87.1899,47,1.5487,2,0.3577,14913.9497
1,89.2575,17,3.9033,1,0.6997,2884.29
2,90.1362,1,10.2226,4,2.5555,15027.4069
6,77.5428,24,0.3422,4,-0.88,26000.5882
2,97.1019,49,13.6765,4,-0.0448,11833.5812
2,80.6293,6,6.1452,1,1.8638,4957.0734
4,58.569,20,0.9874,5,-0.3929,21174.4258
4,111.6664,60,2.8521,2,1.6166,12096.4416
2,99.0334,64,4.3184,4,-1.1195,12443.4344
1,111.7799,2,10.5716,4,0.6685,17380.429
5,144.153,29,5.3966,5,-0.4701,27400.5894
4,82.6915,66,0.8567,1,0.9788,5785.0313
1,61.5088,42,20.7458,1,-0.335,-5699.5394
5,82.3251,28,1.5385,3,-1.9883,16109.5939
5,94.2682,0,1.4004,4,-0.3057,25844.829
1,110.0193,36,0.9059,4,0.809,14180.8592
5,94.8224,6,5.3466,4,-1.1514,24278.1331
3,28.8821,2,4.9235,1,0.5712,7581.2589
4,132.4326,55,1.122,2,0.0858,9864.6375
4,92.8159,36,11.1843,3,-0.051,7958.9792
3,128.6521,10,14.2525,3,-0.9913,12036.3253
4,65.6262,67,6.9621,1,0.2405,-535.3775
4,123.2879,38,2.6977,3,-0.233,10451.8272
4,132.8278,61,13.6022,5,-0.2545,18383.9054
1,104.9662,19,10.3735,3,-0.6846,8033.695
5,25,25,4.5781,4,0.1355,18727.9311
6,92.7356,6,0.4138,3,0.2782,24564.6108
6,112.9446,65,1.1689,5,1.1996,24950.7808
5,62.0035,13,1.9071,4,-0.7592,19658.2107
4,122.0781,31,7.8847,1,-0.0663,6010.7958
1,115.0915,13,5.6648,3,0.5134,9081.0484
4,90.529,46,30.1542,3,0.8682,1974.721
4,49.3673,32,9.5894,2,0.3764,6804.2445
6,107.0723,46,24.1664,5,-1.0127,18228.9153
4,70.018,72,13.969,1,0.2953,-656.965
4,110.343,18,6.3336,4,-1.1965,22214.6533
3,80.2055,69,3.4952,1,-1.0665,650.6881
1,89.451,26,3.8319,3,0.5366,6191.9122
2,51.2136,39,1.0599,5,0.828,14985.2095
3,108.0291,57,2.3343,1,0.7069,3230.9993
3,65.0329,8,5.0363,5,-2.3428,18859.5188
4,69.8177,13,17.6008,5,-0.7924,16604.9639
1,51.6377,55,5.37,4,0.1587,6330.6681
3,70.8088,69,2.5395,3,-0.4014,4148.8414
2,92.4108,38,0.2,1,1.6248,5098.6137
3,118.0775,11,10.8671,2,0.7321,9199.5588
3,113.1428,9,23.3875,1,-1.2134,1372.8624
6,79.4043,18,8.488,1,-1.3528,11690.4812
6,104.0841,59,11.6722,4,0.6867,20373.9581
2,98.3987,48,17.0602,4,-0.7287,7043.6329
5,66.3417,68,5.0346,5,1.2133,16352.0432
3,57.8778,9,10.5119,5,-2.0714,19038.9353
4,111.8688,46,9.8665,5,-0.9519,19503.3749
6,107.7649,48,1.3451,5,-0.1627,28649.2612
4,108.7504,20,11.062,2,1.3213,11438.8394
